Country	Brazil	#238E23
Country	Madagascar	#2F4F2F
Country	Morocco	#FF00FF
Country	Uruguay	#0000FF
Country	China	#527F76
Country	Croatia	#007FFF
Country	Czechia	#9932CD
Country	Ethiopia	#B5A642
Country	France	#545454
Country	Germany	#DB70DB
Country	Uganda	#CC3299
Country	Kenya	#BEADED
Country	South Africa	#F5CCB0
Country	Sweden	#5F9F9F
Country	Turkey	#FFFF00
Country	UK	#855E42
Country	USA	#5959AB
Region	Africa	#FF7F00
Region	Asia	#FF0000
Region	Europe	#0000FF
Region	North America	#00FF00
Region	Oceania	#00FFFF
Region	South America	#FFFF00
Group	TTTTF	#9C577F
Group	QFCSC	#6BA557
Group	TTKSK	#D0474E
Group	TTTSK	#5B4836
Group	JRCQC	#364271
Group	Unknown	#bfa99e
Group	RCRS	#495C55
Group	MCCFC	#F74ABD
Group	QCCQ	#73BFC0
Group	HPCS	#009000
Group	TMLK	#008080
Group	MCCD	#1022FF
Group	PKBSC	#FBA52B
Group	TPMKC	#14F624
Group	RHTS	#FF7F00
Group	RCRSC	#FFFF00
Group	GBCS	#0000FF
Group	TKRJ	#C5B358
Group	HFCQ	#FF00FF
Group	GHBS	#FF0000
Group	GHCS	#00FF00
Group	RRTTF	#FFD700
Group	JCMQ	#FFA500
Group	JRGLC	#FF4500
Group	RKBJ	#FF6347
Group	RKQQC	#FF69B4
Group	RKQ 	#FF1493
Group	TKTTF	#00FFFF
Group	QCCJB	#00FF7F
Group	TTKSP 	#7FFF00
Group	PTKST	#8A2BE2
